gene_id	KNI1766A283	KNI1766A273	KNI1766A278	KNI1766A288	KNI1766A269	KNI1766A274	KNI1766A280	KNI1766A284	KNI1766A271	KNI1766A276	KNI1766A282	KNI1766A286	KNI1766A279	KNI1766A270	KNI1766A275	KNI1766A285	KNI1766A272	KNI1766A277
gene_id	CD45RA+Cyt-	CD45RA+Cyt-	CD45RA+Cyt-	CD45RA+Cyt-	CSF+	CSF+	CSF+	CSF+	IFN+	IFN+	IFN+	IFN+	IFN+	IL17A+	IL17A+	IL17A+	IL17A+GMCSF+IFN-	IL17A+GMCSF+IFN-
ENSG00000269427	0.301205	0.399799	0.318865	0.365926	0.408024	0.287851	0.438652	0.727812	0.233359	0.359993	0.485573	0.290847	0.380107	0.259347	0.460973	0.96876	0.466627	0.177882
ENSG00000269439	0.527109	0.399799	0.345437	0.309629	0.217613	0.345421	0.321678	0.378462	0.181501	0.159997	0.21581	0.43627	0.146195	0.115265	0.263413	0	0.062217	0.355764
ENSG00000269501	1.93273	1.11373	0.77059	2.08296	1.6865	2.1301	2.51494	1.71764	1.91873	2.11996	2.75158	2.18135	1.54967	0.979754	1.25121	1.77606	1.58653	1.24518
ENSG00000269549	1.68173	1.37074	2.55092	1.71704	0.788847	0.949909	1.16974	1.83409	0.803791	0.839983	1.18696	1.40576	0.55554	0.547509	0.526826	2.26044	0.62217	0.711529
ENSG00000269609	3.31326	15.3066	10.5225	2.47703	3.56341	2.56188	2.07629	1.48474	4.92646	4.59991	2.56275	1.8905	4.94138	5.38865	4.54388	3.2292	3.2975	2.49035
ENSG00000269633	0.502009	0.571142	0.690874	0.45037	0.16321	0.374207	0.321678	0.2329	0.259287	0.199996	0.458597	0.43627	0.350868	0.316979	0.460973	0.32292	0.124434	0.177882
ENSG00000269640	0.627511	0.456914	0.558013	0.759999	0.979259	2.67702	1.46217	0.727812	0.803791	1.43997	0.917193	0.630168	2.33912	1.03739	2.23901	0.32292	1.27545	2.04565
ENSG00000269656	0.426708	0.285571	0.372009	0.619259	0.190411	0.374207	0.292435	0.640475	0.233359	0.359993	0.21581	0.630168	0.29239	0.259347	0.131707	0.16146	0.124434	0.444705
ENSG00000269680	1.02912	2.88427	3.87952	0.562962	1.55049	3.08001	1.11125	0.727812	2.02244	2.43995	1.133	0.484745	2.16368	1.46963	1.58048	1.13022	1.02658	1.15623
ENSG00000269688	2.93675	4.16934	4.03895	4.08148	1.87691	2.18767	2.33948	3.4935	2.56695	3.23994	2.53577	4.65355	2.89466	2.70873	2.56828	4.8438	1.99094	3.37976
ENSG00000269737	0.401607	1.65631	0.265721	0.731851	2.09453	0.11514	0.0877304	0.174675	1.60758	0.239995	0.21581	0.290847	0.204673	1.78661	0.263413	0.48438	1.80429	0.177882
ENSG00000269746	0.778114	0.456914	0.584586	0.619259	0.32642	0.575702	0.584869	0.553137	0.20743	0.319994	0.377668	0.775591	0.380107	0.374612	0.526826	0.16146	0.248868	0.444705
ENSG00000269772	1.00402	0.799599	0.77059	0.647407	0.924855	0.690843	0.614112	1.04805	0.881577	0.599988	0.72836	0.533219	0.818691	0.489877	0.263413	1.29168	0.528844	0.711529
ENSG00000269781	0.451808	0.0856713	0.186004	0.365926	0.244815	0.143926	0.350921	0.145562	0.181501	0.279994	0.404644	0.339321	0.233912	0.0864489	0.131707	0.16146	0.124434	0.0889411
ENSG00000269821	22.3645	13.5361	16.5544	17.5926	15.3417	15.544	18.6573	26.8126	13.0162	13.8797	16.7253	22.5406	10.2044	10.6044	12.3146	23.5732	10.048	12.8075
ENSG00000269825	2.73595	2.48447	2.12577	2.47703	2.04012	2.01496	1.90082	2.41634	2.85216	1.99996	2.13113	2.61762	1.63738	1.52726	1.90974	2.90628	1.0888	1.77882
ENSG00000269834	1.07932	0.628256	0.690874	1.35111	0.16321	0.690843	0.526382	1.25184	0.311145	0.239995	0.674407	1.01796	0.614018	0.288163	0.329266	1.45314	0.0311085	0.177882
ENSG00000269837	4.86949	6.53958	4.7564	2.84296	1.76811	2.44674	2.74888	2.03787	2.46323	2.47995	3.12925	2.2783	2.98237	1.55608	1.84389	2.74482	1.43099	2.04565
ENSG00000269845	0.451808	0.171343	0.186004	0.197037	0.16321	0.172711	0.672599	0.34935	0.259287	0.239995	0.647431	0.630168	0.175434	0	0.131707	0.48438	0.062217	0
ENSG00000269858	11.2199	10.0521	11.9574	5.60148	13.4648	13.4427	10.7031	9.69446	15.8165	12.3598	13.2184	7.85286	13.8885	9.76872	12.3146	6.4584	13.8433	11.6513
ENSG00000269867	0.778114	0.799599	0.558013	0.759999	0.734444	0.460562	0.731086	0.640475	0.570432	0.51999	0.512549	0.824066	0.584779	0.489877	0.39512	0.48438	0.871037	0.266823
ENSG00000269893	42.5955	35.2109	29.4153	25.4459	25.1615	23.4311	31.7876	23.4355	23.3877	21.3196	28.7567	21.765	25.6426	28.5858	25.0242	25.5107	22.7403	28.4612
ENSG00000269894	0.351406	0.399799	0.345437	0.365926	0.136008	0.0863554	0.233948	0.11645	0.259287	0.119998	0.188834	0.484745	0.146195	0.144081	0.0658533	0	0.311085	0.177882
ENSG00000269896	0.57731	0.713927	0.372009	0.140741	0.190411	0.287851	0.175461	0.11645	0.440789	0.0799984	0.242787	0.145423	0.175434	0.288163	0.19756	0.32292	0.0933254	0.177882
ENSG00000269899	0.251004	0.0571142	0.186004	0.0281481	0.680041	1.46804	0.350921	0.4658	1.42608	0.99998	0.377668	0.290847	1.16956	0.23053	0.724386	0.16146	0.466627	0.80047
ENSG00000269900	0.476908	0.171343	0.239149	0.281481	0.108807	0.172711	0.116974	0.320237	0.259287	0.239995	0.269763	0.145423	0.204673	0.547509	0.790239	1.29168	0.311085	0.444705
ENSG00000269901	1.50603	2.08467	2.12577	1.52	1.11527	1.32412	1.25747	0.989824	1.55572	1.43997	1.18696	1.50271	1.40347	1.03739	1.38292	1.29168	1.18212	1.33412
ENSG00000269902	1.30522	1.08517	0.930022	0.309629	2.09453	2.76337	2.83661	1.95054	2.2558	2.07996	2.88646	2.81152	1.95901	0.893305	2.1073	0.96876	1.55542	3.20188
ENSG00000269906	0.326306	0.1999	0.292293	0.281481	0.190411	0.0863554	0.263191	0.291125	0.155572	0.399992	0.404644	0.242372	0.0877169	0.115265	0.329266	0	0.0311085	0
ENSG00000269913	0.426708	0.742485	1.08945	0.281481	0.299218	0.374207	0.409408	0.4658	0.259287	0.479991	0.701383	0.387796	0.350868	0.172898	0.526826	0.16146	0.0311085	0
ENSG00000269918	1.17972	1.08517	0.850306	1.23852	0.544033	0.316636	0.965034	0.989824	0.596361	0.479991	0.72836	0.678642	0.380107	0.316979	0.460973	1.45314	0.373302	0.622588
ENSG00000269919	0.301205	0.342685	0.186004	0.0562962	0.544033	0.690843	0.263191	0.262012	1.29644	0.639987	0.269763	0.0969489	0.497062	0.864489	0.592679	0.48438	0.653278	0.444705
ENSG00000269925	0.401607	0.1999	0.106288	0.140741	0.244815	0.316636	0.263191	0.11645	0.259287	0.319994	0.242787	0.0969489	0.233912	0.259347	0.263413	0.32292	0.062217	0.177882
ENSG00000269928	2.73595	2.62725	1.83347	1.99852	1.57769	1.32412	1.90082	1.13539	1.86687	1.35997	1.26789	1.21186	1.52043	2.3053	1.71219	1.45314	1.21323	0.622588
ENSG00000269929	0.502009	0.628256	0.797162	0.281481	0.516831	0.345421	0.672599	0.494912	0.700076	0.559989	0.404644	0.339321	0.409345	0.0864489	0.329266	0.16146	0.311085	0.711529
ENSG00000269937	2.56025	3.14128	2.73692	3.12444	6.99082	5.87216	2.8951	6.46297	6.24883	5.51989	3.23715	6.01083	5.87703	5.3022	3.9512	3.87504	8.21264	3.11294
ENSG00000269940	0.828315	0.913827	0.63773	0.90074	0.707242	0.402992	0.789573	0.262012	0.440789	0.799984	0.43162	0.43627	0.584779	0.77804	0.987799	0.64584	0.808821	0.622588
