gene	CD45RA+Cyt-	CSF+	IFN+	IL17A+	IL17A+GMCSF+INF-
BANP	596.961609330998	482.246736758027	555.773679991511	841.090881206747	1153.70363913436
PPP1CA	344.342520554209	344.700708409758	381.628111429654	392.34080117206	336.851552260626
HCFC1	1697.80734140657	1408.95477062668	1281.14413266648	1407.6504977466	1450.4970032998
CTSW	32.7524460570595	66.7688315103838	82.8587689184579	28.494233718861	21.8040537650864
NIPAL4	251.618934254925	517.098710891094	598.52921851349	792.057181528619	974.138970029545
FNDC9	12.0602522268774	18.2895605573627	22.0111460843283	56.6392271239325	31.1264071188721
RASGRP1	1174.90512048279	745.532956677824	911.974298348432	1210.45568593189	1059.39703116176
KLHL6	1054.33943052044	765.173201305612	740.48519910049	797.428889611401	631.042532927849
CHCHD1	138.549700808143	117.789661958346	132.988696725113	128.054186708954	102.755258519884
MRPL52	364.297165206244	286.64819949949	305.162142368459	313.992259134582	316.13864220112
RND1	52.7289841784034	14.2580469265232	7.55807935139359	17.0053228500062	1.94875568302212
RAD9A	58.0294438850886	26.9873751241781	27.7324067795207	31.1905155996266	14.3257702802024
EFEMP2	44.183912577029	20.9071572930957	17.5903194231241	24.2970537402628	30.0205015584998
AGAP5	7.75890716160951	6.21672199686337	7.68919448425964	10.5016460128457	5.55636970660282
C17orf66	2.85324470772305	3.31770773110043	22.1899806456423	1.22277836299143	0
TAF15	1783.35623464065	1393.92765667354	1554.6238618286	1579.67230848012	1398.38255063375
FAM21C	140.440255205147	81.0924454801399	100.377854954481	72.8908896804002	53.5370974736265
TMEM134	52.2219137600056	28.8998118675886	32.0757676654307	47.9856580032639	20.4350927669914
ZMAT3	272.334487585359	237.036348447358	165.954750397158	259.938709317922	477.709550608718
ZFAND4	93.4871082236506	50.7648044971988	65.6753069545428	72.6834664091859	36.8411464490772
THEMIS	465.226350987127	1330.74275485946	964.713248079441	947.416323946564	2265.31980877629
ZNF738	16.5043401276091	20.9986992769178	19.6402233189811	7.91702941944223	10.0068338528333
SLFN11	594.912843618965	648.966136063025	523.092916326574	373.879400546459	437.168184371889
CORO1B	120.174834275609	126.648956520521	125.093713888235	124.455275737643	93.0383220095142
MUS81	364.965427365671	224.21601668453	271.529123050046	263.970707195005	213.344461726546
TMEM217	40.7662409453693	106.06797851075	60.2711516218347	102.969774571305	304.541395672002
ZNF596	19.7939130206763	18.5716208312695	22.1028733691171	18.7635211667993	17.5119592424582
CFL1	3573.79584992319	3664.38333368137	3519.02968277722	4223.60311662224	3226.87374541099
TMCC1	57.4228973112519	65.6018260961926	67.7060982272899	72.6748298255631	67.2173092094711
NAA16	183.57369441087	128.481044008395	125.583418412887	135.040649377016	124.625076144401
EFCAB12	17.4289236117722	13.3116829621698	19.1897887620581	21.6457111471891	7.99231431038047
FAM192A	393.276839233163	313.913839633645	369.146062279101	326.327041932192	357.917441717183
RAB43	34.432853120338	40.829749636863	34.4617832780451	42.6157291843538	29.4017849188829
CBWD1	327.653874493302	268.840090989952	249.838164032853	282.196899463491	266.881559200173
RAB37	4.57661896966056	5.19139588009955	4.80781414814878	5.74562196434395	6.95217260943875
DCP2	333.49738314227	335.99714791179	351.858694871954	342.841884116089	330.096671229479
SNX32	26.1106621868748	18.6798477312377	15.6478413689762	23.1964861927679	16.5375814009471
RPL38	3330.09453623209	3488.45557839704	3475.75867143602	4593.66086132585	4127.1519274543
OVOL1	1.5234792592649	29.745659144535	18.2800018582553	10.5274031887805	38.7899021320993
RARG	62.4598063006255	657.541925591918	251.120317023644	194.309067323885	455.961862457957
CES4A	42.9945205618264	48.0850342682019	59.0974428730547	61.5603397561778	83.7280487056774
CES3	10.384755733657	5.60959094278234	4.54909023003729	2.18428604306572	9.09821987075285
SSH3	9.22962259687032	11.3087856880644	10.6783564940063	6.94264315140051	5.55636970660282
CES2	498.330494024636	547.58797915377	497.22965195536	407.024687056092	502.044836546597
PDP2	370.345618262199	651.418358946794	542.296962900993	437.670145312718	662.907104355251
SP3	921.468453753939	892.29864170821	838.512366582783	864.506803742165	918.305501085531
DMXL1	497.073161005709	423.810019909856	448.273397596565	359.993690128336	321.180981082226
METAP1D	17.4616774624503	10.6835870963663	12.1595292346483	8.12048222669997	5.91203090849702
ZNF621	128.79585415558	121.630140107689	138.438289053181	118.048205114977	117.962800877426
EGFL7	6.48379214010381	8.64338344942179	5.77939522309185	5.15238413488284	7.50512538962494
NADSYN1	639.800579227966	548.766016052063	688.484816343538	560.881645148871	695.187737234291
DHCR7	425.237399819488	230.525471116258	157.798710865955	281.116481223851	211.751367245418
NBEA	33.0749445431093	14.9675837228959	6.27485208714231	18.2796155648673	3.9632752254749
RNASEH2C	226.011741206558	158.207767835653	170.200218771854	173.482198583552	135.211704682161
MYEOV	20.1803899291483	16.3060383356394	7.43482368879596	10.5274031887805	7.99231431038047
ANKRD13D	128.61332051176	111.788884787372	117.846655931477	87.978134830312	69.6532538132488
MYD88	364.088904717422	354.323604458186	354.766733500287	326.869732605881	268.355206012388
OXSR1	1242.7339392418	1050.91445327923	1027.61874662398	1240.67596204779	1515.65951818156
PHF8	810.810208995581	671.520385524474	739.451923047417	611.707522652083	649.511426352183
LCLAT1	197.538588491104	77.4422463583413	89.3213858149286	105.128668496595	85.3479850915462
MIR4435-1HG	413.489693743156	2141.50976623802	1659.62845957559	3607.27826569322	5132.48302074953
AC007318.5	15.9338433718139	19.9840692136847	20.8889633368203	18.5174621316827	18.9077621452941
KAT5	401.076944611416	368.992590126876	370.018960135031	294.717861901114	317.916948210591
SH3RF3	151.32484580691	3.99226845497685	8.92048229717293	25.922495713425	3.05466124339451
DCAKD	135.373591532239	90.5583195337019	111.761916035691	102.541718843359	66.7958841481463
TADA2B	512.653415270905	633.280190537107	570.954540033116	512.511266059578	502.609869376732
CCDC96	15.364749622123	24.5744069284353	20.5238378414816	13.2213520097131	13.9043452188775
ADRBK1	786.013288077836	535.954258279595	634.231141796219	499.263911632355	534.459678949342
RELA	2945.91733395269	3472.24055072143	3270.4783253491	3125.27337818357	3508.97357418808
EVC2	6.14272028815323	68.8923394316571	25.5055718060169	70.8360851727183	181.402046389765
ZNF680	11.1327719601349	8.42063700197451	8.52504290458727	12.960081326796	2.98889738396384
HECTD4	519.148661585514	567.808546906815	511.015053810847	423.582500526006	518.250916845548
FAM222B	258.179388119871	379.172924146895	373.807205847326	308.92890534444	334.033104550213
RXFP4	20.7836398196278	23.2127586356626	25.8781168437488	21.5324084557034	17.9991481632137
HPSE	45.5002266806301	106.071996727813	77.8771160597264	66.8671479812151	90.3245601132219
COQ2	54.5140551033749	29.6624000872864	33.8141403004114	43.0992106709644	38.7899021320993
HSPA6	1519.35613298512	210.214823017686	34.9507607215527	193.292991128714	27.9791401113061
TRMT112	1084.91895000747	943.776997571971	1009.61970707756	1036.54885815245	768.857950082496
LRRN3	259.738810495323	37.4985473936108	30.4413664170433	75.4602946260031	39.6059103500081
KDM2A	2083.75068869842	1673.150787231	1536.43527434136	1666.61500612976	1314.45989215463
ADCK5	48.3431456870741	24.4339190101763	29.4328114695481	22.4704920196759	25.7284070358715
MRP63	366.514493419328	329.788504478638	367.500015470408	365.536673906587	397.550193971932
NOC3L	773.51311260726	702.832244488015	807.417440988978	815.733058076326	862.371380962817
ESRRA	826.881745977989	436.38213372387	455.946215762971	569.892420958926	649.738241640059
COMMD1	57.3597974464067	55.3340241738049	59.1108712047161	47.2217237219791	46.4265552405856
RAPH1	473.47547301456	1188.71708263629	735.441984163706	708.246870554708	839.482899932413
MTX1	140.631644530344	84.8167993521514	102.483712040137	117.166030482152	84.1763156717431
PARP14	1322.22836236277	2841.06687509782	1990.561290905	2952.09878843105	5179.57668439846
CYSLTR1	1059.48237330822	569.911421355639	554.378237875121	579.827340179987	215.580432947189
PARP15	120.316750024112	82.6419951145349	138.319496237475	156.122697759702	83.2408597849218
CKS1B	57.4676498750878	60.9081061329518	58.2068598730028	54.0742167576077	50.1267750283378
AHSA2	620.609505829794	474.735077795331	537.299073114593	444.22070399156	508.426612716215
MAB21L3	17.1030097562295	26.3813315152325	26.0027343863582	25.8002848979284	20.9880455471776
KIAA1919	71.4109239988099	59.4398970913669	62.6864695239076	61.0445260294546	58.6062782594738
